date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:07	1661/1661	---M--	200	added ('OK')	image/png	etag:%2261bb4891-67d%22	https://www.mansurtl.com/templates/dream/images/dist/brands/img-9.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/brands/img-9.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:08	187303/187303	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e048-2dba7%22	https://www.mansurtl.com/templates/dream/catalog-filter.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/catalog-filter.html	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:10	1269110/1269110	---M--	200	added ('OK')	image/png	etag:%2261d15fe1-135d76%22	https://www.mansurtl.com/templates/dream/images/dist/hero-banners/img-2-2250x800.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/hero-banners/img-2-2250x800.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:10	1575500/1575500	---M--	200	added ('OK')	image/png	etag:%2261d1606a-180a4c%22	https://www.mansurtl.com/templates/dream/images/dist/hero-banners/img-1-2250x800.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/hero-banners/img-1-2250x800.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:10	199650/199650	---MCZ	200	added ('OK')	text/html	etag:W/%2262d3e049-30be2%22	https://www.mansurtl.com/templates/dream/product.html	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/product.html	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:11	775816/775816	---M--	200	added ('OK')	image/png	etag:%2261d16075-bd688%22	https://www.mansurtl.com/templates/dream/images/dist/hero-banners/img-3-2250x800.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/hero-banners/img-3-2250x800.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:11	157928/157928	---M--	200	added ('OK')	image/png	etag:%2261d0285c-268e8%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-1.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-1.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:11	262876/262876	---M--	200	added ('OK')	image/png	etag:%2261d02881-402dc%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-2.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-2.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:11	239110/239110	---M--	200	added ('OK')	image/png	etag:%2261d0289b-3a606%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-3.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-3.png	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:12	21432/21432	---M--	200	added ('OK')	image/png	etag:%226161a614-53b8%22	https://www.mansurtl.com/templates/dream/images/dist/products/img-5.png	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/products/img-5.png	(from https://www.mansurtl.com/templates/dream/index.html)
